system_id,sample_coordinate_id,ProjektNr,Befu,ProbNr,coordinate_type,coordinate_value
229,,Iswid,US 16287_F4185 (TR.),Isw 17/23,KoordX,
230,,Iswid,US 16323_F4199(foye,Isw 17/29,KoordX,
231,,Iswid,US 6712,Isw 2013/13,KoordX,
232,,Iswid,US 6773,Isw 2013/7,KoordX,
233,,Iswid,US 6803,Isw 2013/10,KoordX,
234,,Iswid,US 6810,Isw 2013/5,KoordX,
235,,Iswid,US 6827,Isw 2013/2,KoordX,
236,,Iswid,US 6854,Isw 2013/4,KoordX,
237,,Iswid,US 6863,Isw 2013/12,KoordX,
238,,Iswid,US 6875,Isw 2013/14,KoordX,
239,,Iswid,US 9036,Isw 2013/3,KoordX,
240,,Iswid,US 9200,Isw 2013/1,KoordX,
241,,Iswid,US 9321,Isw 2013/6,KoordX,
242,,Iswid,US 9404_foyer 2093,Isw 2013/17,KoordX,
243,,Iswid,US 9519,Isw 2013/11,KoordX,
244,,Iswid,US 9859/9860,Isw 2013/16,KoordX,
245,,Iswid,US 9870_foyer2163,1,KoordX,
246,,Iswid,US 9880_foyer 2166,Isw 2013/19,KoordX,
247,,18_0025,P16,18_0025_0003,KoordY,0.0
248,,18_0025,P18,18_0025_0004,KoordY,0.0
249,,18_0025,P20,18_0025_0005,KoordY,0.0
250,,18_0025,P5,18_0025_0001,KoordY,0.0
251,,18_0025,P6,18_0025_0002,KoordY,0.0
252,,19_0013,A11148,19_0013_0013,KoordY,0.0
253,,19_0013,A11148,19_0013_0014,KoordY,0.0
254,,19_0013,A11148,19_0013_0015,KoordY,0.0
255,,19_0013,A11148,19_0013_0020,KoordY,0.0
256,,19_0013,A479,19_0013_0010,KoordY,0.0
257,,19_0013,A479,19_0013_0011,KoordY,0.0
258,,19_0013,A479,19_0013_0012,KoordY,0.0
259,,19_0013,A479,19_0013_0019,KoordY,0.0
260,,19_0013,A6214,19_0013_0007,KoordY,0.0
261,,19_0013,A6214,19_0013_0008,KoordY,0.0
262,,19_0013,A6214,19_0013_0009,KoordY,0.0
263,,19_0013,A6214,19_0013_0018,KoordY,0.0
