system_id,sample_chronological_period_id,chronological_period_id,sample_id,taxon_id,BNam,Befu,ChronoDat,ChronoDat Beschreibung,ProbNr,ProjektNr,TaxAut
200,,1,14,27,Corylus avellana,A6214,,,19_0013_0007,19_0013,L.
201,,1,14,45,Galium spurium,A6214,,,19_0013_0007,19_0013,L.
202,,1,14,50,Polygonum lapathifolium agg.,A6214,,,19_0013_0007,19_0013,L.
203,,1,14,16,Ranunculus spec.,A6214,,,19_0013_0007,19_0013,L.
204,,1,14,57,Solanum nigrum,A6214,,,19_0013_0007,19_0013,L.
205,,1,14,20,Spergula arvensis,A6214,,,19_0013_0007,19_0013,L.
206,,1,14,22,Stellaria media,A6214,,,19_0013_0007,19_0013,
207,,1,15,58,Brassica spec.,A6214,,,19_0013_0008,19_0013,L.
208,,1,15,44,Cerealia indet.,A6214,,,19_0013_0008,19_0013,
209,,1,15,6,Chenopodium album,A6214,,,19_0013_0008,19_0013,L.
210,,1,15,46,Hordeum distichon/vulgare,A6214,,,19_0013_0008,19_0013,L./L.
211,,1,15,36,Indeterminata,A6214,,,19_0013_0008,19_0013,
212,,1,15,50,Polygonum lapathifolium agg.,A6214,,,19_0013_0008,19_0013,L.
213,,1,15,22,Stellaria media,A6214,,,19_0013_0008,19_0013,
214,,1,15,59,Triticum aestivum s.l./durum/turgidum,A6214,,,19_0013_0008,19_0013,L./L.
215,,1,16,35,Carex spec.,A6214,,,19_0013_0009,19_0013,
216,,1,16,44,Cerealia indet.,A6214,,,19_0013_0009,19_0013,
217,,1,16,6,Chenopodium album,A6214,,,19_0013_0009,19_0013,L.
218,,1,16,27,Corylus avellana,A6214,,,19_0013_0009,19_0013,L.
219,,1,16,45,Galium spurium,A6214,,,19_0013_0009,19_0013,L.
220,,1,16,46,Hordeum distichon/vulgare,A6214,,,19_0013_0009,19_0013,L./L.
221,,1,16,22,Stellaria media,A6214,,,19_0013_0009,19_0013,
222,,1,17,58,Brassica spec.,A6214,,,19_0013_0018,19_0013,L.
223,,1,17,44,Cerealia indet.,A6214,,,19_0013_0018,19_0013,
224,,1,17,6,Chenopodium album,A6214,,,19_0013_0018,19_0013,L.
225,,1,17,45,Galium spurium,A6214,,,19_0013_0018,19_0013,L.
226,,1,17,36,Indeterminata,A6214,,,19_0013_0018,19_0013,
227,,1,17,50,Polygonum lapathifolium agg.,A6214,,,19_0013_0018,19_0013,L.
228,,1,18,44,Cerealia indet.,A8090,,,19_0013_0004,19_0013,
229,,1,18,6,Chenopodium album,A8090,,,19_0013_0004,19_0013,L.
230,,1,18,45,Galium spurium,A8090,,,19_0013_0004,19_0013,L.
231,,1,18,48,Hordeum distichon/vulgare Spelzgerste,A8090,,,19_0013_0004,19_0013,
232,,1,18,56,Rumex spec.,A8090,,,19_0013_0004,19_0013,L.
233,,1,18,22,Stellaria media,A8090,,,19_0013_0004,19_0013,
234,,1,18,59,Triticum aestivum s.l./durum/turgidum,A8090,,,19_0013_0004,19_0013,L./L.
235,,1,19,51,Carex spec. tricarpellat,A8090,,,19_0013_0005,19_0013,
236,,1,19,44,Cerealia indet.,A8090,,,19_0013_0005,19_0013,
237,,1,19,6,Chenopodium album,A8090,,,19_0013_0005,19_0013,L.
238,,1,19,45,Galium spurium,A8090,,,19_0013_0005,19_0013,L.
239,,1,19,46,Hordeum distichon/vulgare,A8090,,,19_0013_0005,19_0013,L./L.
240,,1,19,48,Hordeum distichon/vulgare Spelzgerste,A8090,,,19_0013_0005,19_0013,
241,,1,19,36,Indeterminata,A8090,,,19_0013_0005,19_0013,
242,,1,19,22,Stellaria media,A8090,,,19_0013_0005,19_0013,
243,,1,20,44,Cerealia indet.,A8090,,,19_0013_0006,19_0013,
244,,1,20,6,Chenopodium album,A8090,,,19_0013_0006,19_0013,L.
245,,1,20,36,Indeterminata,A8090,,,19_0013_0006,19_0013,
246,,1,20,50,Polygonum lapathifolium agg.,A8090,,,19_0013_0006,19_0013,L.
247,,1,21,51,Carex spec. tricarpellat,A8090,,,19_0013_0017,19_0013,
248,,1,21,44,Cerealia indet.,A8090,,,19_0013_0017,19_0013,
249,,1,21,6,Chenopodium album,A8090,,,19_0013_0017,19_0013,L.
250,,1,21,27,Corylus avellana,A8090,,,19_0013_0017,19_0013,L.
251,,1,21,36,Indeterminata,A8090,,,19_0013_0017,19_0013,
252,,1,22,44,Cerealia indet.,A9063,,,19_0013_0001,19_0013,
253,,1,22,6,Chenopodium album,A9063,,,19_0013_0001,19_0013,L.
254,,1,22,46,Hordeum distichon/vulgare,A9063,,,19_0013_0001,19_0013,L./L.
255,,1,22,48,Hordeum distichon/vulgare Spelzgerste,A9063,,,19_0013_0001,19_0013,
256,,1,22,36,Indeterminata,A9063,,,19_0013_0001,19_0013,
257,,1,22,60,Linum usitatissimum,A9063,,,19_0013_0001,19_0013,L.
258,,1,22,61,Medicago/Melilotus,A9063,,,19_0013_0001,19_0013,
259,,1,23,58,Brassica spec.,A9063,,,19_0013_0002,19_0013,L.
260,,1,23,44,Cerealia indet.,A9063,,,19_0013_0002,19_0013,
261,,1,23,6,Chenopodium album,A9063,,,19_0013_0002,19_0013,L.
262,,1,23,8,Galeopsis spec.,A9063,,,19_0013_0002,19_0013,L.
263,,1,23,45,Galium spurium,A9063,,,19_0013_0002,19_0013,L.
264,,1,23,19,Solanum spec.,A9063,,,19_0013_0002,19_0013,L.
265,,1,23,20,Spergula arvensis,A9063,,,19_0013_0002,19_0013,L.
266,,1,24,44,Cerealia indet.,A9063,,,19_0013_0003,19_0013,
267,,1,24,6,Chenopodium album,A9063,,,19_0013_0003,19_0013,L.
268,,1,24,45,Galium spurium,A9063,,,19_0013_0003,19_0013,L.
269,,1,24,46,Hordeum distichon/vulgare,A9063,,,19_0013_0003,19_0013,L./L.
270,,1,24,48,Hordeum distichon/vulgare Spelzgerste,A9063,,,19_0013_0003,19_0013,
271,,1,24,50,Polygonum lapathifolium agg.,A9063,,,19_0013_0003,19_0013,L.
272,,1,24,21,Stellaria graminea,A9063,,,19_0013_0003,19_0013,L.
273,,1,24,22,Stellaria media,A9063,,,19_0013_0003,19_0013,
274,,1,25,44,Cerealia indet.,A9063,,,19_0013_0016,19_0013,
275,,1,25,6,Chenopodium album,A9063,,,19_0013_0016,19_0013,L.
276,,1,25,36,Indeterminata,A9063,,,19_0013_0016,19_0013,
277,,1,25,62,Triticum spec.,A9063,,,19_0013_0016,19_0013,L.
278,,1,26,44,Cerealia indet.,A10143,,,19_0014_0040,19_0014,
279,,1,26,6,Chenopodium album,A10143,,,19_0014_0040,19_0014,L.
280,,1,26,45,Galium spurium,A10143,,,19_0014_0040,19_0014,L.
281,,1,26,46,Hordeum distichon/vulgare,A10143,,,19_0014_0040,19_0014,L./L.
282,,1,27,44,Cerealia indet.,A10153,,,19_0014_0037,19_0014,
283,,1,27,6,Chenopodium album,A10153,,,19_0014_0037,19_0014,L.
284,,1,27,45,Galium spurium,A10153,,,19_0014_0037,19_0014,L.
285,,1,28,44,Cerealia indet.,A10189,,,19_0014_0042,19_0014,
286,,1,28,45,Galium spurium,A10189,,,19_0014_0042,19_0014,L.
287,,1,28,20,Spergula arvensis,A10189,,,19_0014_0042,19_0014,L.
288,,1,28,22,Stellaria media,A10189,,,19_0014_0042,19_0014,
289,,1,29,44,Cerealia indet.,A10229,,,19_0014_0039,19_0014,
290,,1,29,6,Chenopodium album,A10229,,,19_0014_0039,19_0014,L.
291,,1,29,45,Galium spurium,A10229,,,19_0014_0039,19_0014,L.
292,,1,29,46,Hordeum distichon/vulgare,A10229,,,19_0014_0039,19_0014,L./L.
