system_id,sample_archaeological_period_id,archaeological_period_id,sample_id,taxon_id,ArchDat,ArchDat_Beschreibung,BNam,Befu,ProbNr,ProjektNr,TaxAut
146,,3,8,22,ScanJärn,Järnåldern (500 f. Kr. - ca 1000 e. Kr.),Stellaria media,A11148,19_0013_0015,19_0013,
147,,3,9,35,ScanJärn,Järnåldern (500 f. Kr. - ca 1000 e. Kr.),Carex spec.,A11148,19_0013_0020,19_0013,
148,,3,9,44,ScanJärn,Järnåldern (500 f. Kr. - ca 1000 e. Kr.),Cerealia indet.,A11148,19_0013_0020,19_0013,
149,,3,9,6,ScanJärn,Järnåldern (500 f. Kr. - ca 1000 e. Kr.),Chenopodium album,A11148,19_0013_0020,19_0013,L.
150,,3,9,8,ScanJärn,Järnåldern (500 f. Kr. - ca 1000 e. Kr.),Galeopsis spec.,A11148,19_0013_0020,19_0013,L.
151,,3,9,55,ScanJärn,Järnåldern (500 f. Kr. - ca 1000 e. Kr.),Galium spec.,A11148,19_0013_0020,19_0013,L.
152,,3,9,52,ScanJärn,Järnåldern (500 f. Kr. - ca 1000 e. Kr.),Poaceae,A11148,19_0013_0020,19_0013,
153,,3,9,50,ScanJärn,Järnåldern (500 f. Kr. - ca 1000 e. Kr.),Polygonum lapathifolium agg.,A11148,19_0013_0020,19_0013,L.
154,,3,9,13,ScanJärn,Järnåldern (500 f. Kr. - ca 1000 e. Kr.),Polygonum convolvulus,A11148,19_0013_0020,19_0013,(L.) A. Löve
155,,3,9,53,ScanJärn,Järnåldern (500 f. Kr. - ca 1000 e. Kr.),Rumex acetosella agg.,A11148,19_0013_0020,19_0013,
156,,3,9,56,ScanJärn,Järnåldern (500 f. Kr. - ca 1000 e. Kr.),Rumex spec.,A11148,19_0013_0020,19_0013,L.
157,,3,9,20,ScanJärn,Järnåldern (500 f. Kr. - ca 1000 e. Kr.),Spergula arvensis,A11148,19_0013_0020,19_0013,L.
158,,3,9,22,ScanJärn,Järnåldern (500 f. Kr. - ca 1000 e. Kr.),Stellaria media,A11148,19_0013_0020,19_0013,
159,,3,10,35,ScanJärn,Järnåldern (500 f. Kr. - ca 1000 e. Kr.),Carex spec.,A479,19_0013_0010,19_0013,
160,,3,10,44,ScanJärn,Järnåldern (500 f. Kr. - ca 1000 e. Kr.),Cerealia indet.,A479,19_0013_0010,19_0013,
161,,3,10,8,ScanJärn,Järnåldern (500 f. Kr. - ca 1000 e. Kr.),Galeopsis spec.,A479,19_0013_0010,19_0013,L.
162,,3,10,45,ScanJärn,Järnåldern (500 f. Kr. - ca 1000 e. Kr.),Galium spurium,A479,19_0013_0010,19_0013,L.
163,,3,10,46,ScanJärn,Järnåldern (500 f. Kr. - ca 1000 e. Kr.),Hordeum distichon/vulgare,A479,19_0013_0010,19_0013,L./L.
