system_id,sample_sample_type_id,type_name,description,ProbTyp,Befu,ProbNr,ProjektNr
189,,Eim,,Eim,US 11067,Isw 2013/28,Iswid
190,,Eim,,Eim,US 12025,Isw 2013/25,Iswid
191,,Eim,,Eim,US 12040,Isw 2013/29,Iswid
192,,Eim,,Eim,US 12047,Isw 2013/30,Iswid
193,,Eim,,Eim,US 12504,Isw 2013/31,Iswid
194,,Eim,,Eim,US 13017,Isw 2015/18,Iswid
195,,Eim,,Eim,US 13017,Isw 2016/41,Iswid
196,,Eim,,Eim,US 13065,Isw 2015/25,Iswid
197,,Eim,,Eim,US 13066,Isw 2015/4,Iswid
198,,Eim,,Eim,US 13083,Isw 2015/22,Iswid
199,,Eim,,Eim,US 13099,Isw 2015/9,Iswid
200,,Eim,,Eim,US 13145,Isw 2015/21,Iswid
201,,Eim,,Eim,US 13516,Isw 2015/8,Iswid
202,,Eim,,Eim,US 13526,Isw 2015/2,Iswid
203,,Eim,,Eim,US 13572,Isw 2015/12,Iswid
204,,Eim,,Eim,US 13610,Isw 2015/11,Iswid
205,,Eim,,Eim,US 13632,Isw 2016/15,Iswid
206,,Eim,,Eim,US 13639,Isw2015/26,Iswid
207,,Eim,,Eim,US 13657,Isw 2015/17,Iswid
208,,Eim,,Eim,US 13705,Isw 2015/10,Iswid
209,,Eim,,Eim,US 13791,Isw 2015/5,Iswid
210,,Eim,,Eim,US 13791 (3),Isw 2015/7,Iswid
211,,Eim,,Eim,US 13802,Isw 2015/20,Iswid
212,,Eim,,Eim,US 13971,Isw 2015/7,Iswid
213,,Eim,,Eim,US 14021,Isw 2015/1,Iswid
214,,Eim,,Eim,US 14038,Isw 2015/3,Iswid
215,,Eim,,Eim,US 14050,Isw 2015/24,Iswid
216,,Eim,,Eim,US 14078,Isw 2916/23,Iswid
217,,Eim,,Eim,US 14131,Isw 2015/13,Iswid
218,,Eim,,Eim,US 14131,Isw 2016/12,Iswid
219,,Eim,,Eim,US 14158,Isw 2015/14,Iswid
220,,Eim,,Eim,US 14418,Isw 2016/34,Iswid
221,,Eim,,Eim,US 14495,Isw 16/37,Iswid
222,,Eim,,Eim,US 14509,16-Jan,Iswid
223,,Eim,,Eim,US 14636,Isw 16/35,Iswid
224,,Eim,,Eim,US 15067,Isw 2017/7,Iswid
225,,Eim,,Eim,US 15071,Isw 17/4,Iswid
226,,Eim,,Eim,US 15108,Isw 17/1,Iswid
227,,Eim,,Eim,US 15140,Isw17/26,Iswid
228,,Eim,,Eim,US 16183,Isw 2017/8,Iswid
229,,Eim,,Eim,US 16287_F4185 (TR.),Isw 17/23,Iswid
230,,Eim,,Eim,US 16323_F4199(foye,Isw 17/29,Iswid
231,,Eim,,Eim,US 6712,Isw 2013/13,Iswid
232,,Eim,,Eim,US 6773,Isw 2013/7,Iswid
233,,Eim,,Eim,US 6803,Isw 2013/10,Iswid
234,,Eim,,Eim,US 6810,Isw 2013/5,Iswid
235,,Eim,,Eim,US 6827,Isw 2013/2,Iswid
236,,Eim,,Eim,US 6854,Isw 2013/4,Iswid
237,,Eim,,Eim,US 6863,Isw 2013/12,Iswid
238,,Eim,,Eim,US 6875,Isw 2013/14,Iswid
239,,Eim,,Eim,US 9036,Isw 2013/3,Iswid
240,,Eim,,Eim,US 9200,Isw 2013/1,Iswid
241,,Eim,,Eim,US 9321,Isw 2013/6,Iswid
242,,Eim,,Eim,US 9404_foyer 2093,Isw 2013/17,Iswid
243,,Eim,,Eim,US 9519,Isw 2013/11,Iswid
244,,Eim,,Eim,US 9859/9860,Isw 2013/16,Iswid
245,,Eim,,Eim,US 9870_foyer2163,1,Iswid
246,,Eim,,Eim,US 9880_foyer 2166,Isw 2013/19,Iswid
