system_id,sample_id,feature_id,sample_group_id,sample_type_id,alt_ref_type_id,date_sampled,sample_name,Befu,EDatProb,ProbNr,ProbTyp,ProjektNr
189,,131,131,1,,2014-07-19,US 11067,US 11067,2014-07-19,Isw 2013/28,Eim,Iswid
190,,132,132,1,,2014-07-20,US 12025,US 12025,2014-07-20,Isw 2013/25,Eim,Iswid
191,,133,133,1,,2014-07-20,US 12040,US 12040,2014-07-20,Isw 2013/29,Eim,Iswid
192,,134,134,1,,2014-07-20,US 12047,US 12047,2014-07-20,Isw 2013/30,Eim,Iswid
193,,135,135,1,,2014-07-20,US 12504,US 12504,2014-07-20,Isw 2013/31,Eim,Iswid
194,,136,136,1,,2016-08-18,US 13017,US 13017,2016-08-18,Isw 2015/18,Eim,Iswid
195,,136,136,1,,2017-07-14,US 13017,US 13017,2017-07-14,Isw 2016/41,Eim,Iswid
196,,137,137,1,,2016-04-15,US 13065,US 13065,2016-04-15,Isw 2015/25,Eim,Iswid
197,,138,138,1,,2016-08-18,US 13066,US 13066,2016-08-18,Isw 2015/4,Eim,Iswid
198,,139,139,1,,2016-04-15,US 13083,US 13083,2016-04-15,Isw 2015/22,Eim,Iswid
199,,140,140,1,,2016-08-19,US 13099,US 13099,2016-08-19,Isw 2015/9,Eim,Iswid
200,,141,141,1,,2016-08-19,US 13145,US 13145,2016-08-19,Isw 2015/21,Eim,Iswid
201,,142,142,1,,2017-04-11,US 13516,US 13516,2017-04-11,Isw 2015/8,Eim,Iswid
202,,143,143,1,,2016-04-11,US 13526,US 13526,2016-04-11,Isw 2015/2,Eim,Iswid
203,,144,144,1,,2016-04-10,US 13572,US 13572,2016-04-10,Isw 2015/12,Eim,Iswid
204,,145,145,1,,2016-04-10,US 13610,US 13610,2016-04-10,Isw 2015/11,Eim,Iswid
205,,146,146,1,,2017-04-11,US 13632,US 13632,2017-04-11,Isw 2016/15,Eim,Iswid
206,,147,147,1,,2016-04-07,US 13639,US 13639,2016-04-07,Isw2015/26,Eim,Iswid
207,,148,148,1,,2016-04-10,US 13657,US 13657,2016-04-10,Isw 2015/17,Eim,Iswid
208,,149,149,1,,2016-04-10,US 13705,US 13705,2016-04-10,Isw 2015/10,Eim,Iswid
209,,150,150,1,,2016-04-10,US 13791,US 13791,2016-04-10,Isw 2015/5,Eim,Iswid
210,,151,151,1,,2016-08-20,US 13791 (3),US 13791 (3),2016-08-20,Isw 2015/7,Eim,Iswid
