sample_id,taxon_id,PCODE,ProjektNr,Befu,ProbNr,TaxAut,BNam
16,44,CEREA,19_0013,A6214,19_0013_0009,,Cerealia indet.
16,6,CHALB,19_0013,A6214,19_0013_0009,L.,Chenopodium album
16,27,COAVE,19_0013,A6214,19_0013_0009,L.,Corylus avellana
16,45,GASPU,19_0013,A6214,19_0013_0009,L.,Galium spurium
16,46,HODIV,19_0013,A6214,19_0013_0009,L./L.,Hordeum distichon/vulgare
16,22,STMES,19_0013,A6214,19_0013_0009,,Stellaria media
17,58,BRAS,19_0013,A6214,19_0013_0018,L.,Brassica spec.
17,44,CEREA,19_0013,A6214,19_0013_0018,,Cerealia indet.
17,6,CHALB,19_0013,A6214,19_0013_0018,L.,Chenopodium album
17,45,GASPU,19_0013,A6214,19_0013_0018,L.,Galium spurium
17,36,INDET,19_0013,A6214,19_0013_0018,,Indeterminata
17,50,POLAP,19_0013,A6214,19_0013_0018,L.,Polygonum lapathifolium agg.
18,44,CEREA,19_0013,A8090,19_0013_0004,,Cerealia indet.
18,6,CHALB,19_0013,A8090,19_0013_0004,L.,Chenopodium album
18,45,GASPU,19_0013,A8090,19_0013_0004,L.,Galium spurium
18,48,HODVS,19_0013,A8090,19_0013_0004,,Hordeum distichon/vulgare Spelzgerste
18,56,RUME,19_0013,A8090,19_0013_0004,L.,Rumex spec.
18,22,STMES,19_0013,A8090,19_0013_0004,,Stellaria media
18,59,TRAED,19_0013,A8090,19_0013_0004,L./L.,Triticum aestivum s.l./durum/turgidum
19,51,CATRI,19_0013,A8090,19_0013_0005,,Carex spec. tricarpellat
19,44,CEREA,19_0013,A8090,19_0013_0005,,Cerealia indet.
19,6,CHALB,19_0013,A8090,19_0013_0005,L.,Chenopodium album
19,45,GASPU,19_0013,A8090,19_0013_0005,L.,Galium spurium
19,46,HODIV,19_0013,A8090,19_0013_0005,L./L.,Hordeum distichon/vulgare
19,48,HODVS,19_0013,A8090,19_0013_0005,,Hordeum distichon/vulgare Spelzgerste
19,36,INDET,19_0013,A8090,19_0013_0005,,Indeterminata
19,22,STMES,19_0013,A8090,19_0013_0005,,Stellaria media
20,44,CEREA,19_0013,A8090,19_0013_0006,,Cerealia indet.
20,6,CHALB,19_0013,A8090,19_0013_0006,L.,Chenopodium album
20,36,INDET,19_0013,A8090,19_0013_0006,,Indeterminata
20,50,POLAP,19_0013,A8090,19_0013_0006,L.,Polygonum lapathifolium agg.
21,51,CATRI,19_0013,A8090,19_0013_0017,,Carex spec. tricarpellat
21,44,CEREA,19_0013,A8090,19_0013_0017,,Cerealia indet.
21,6,CHALB,19_0013,A8090,19_0013_0017,L.,Chenopodium album
21,27,COAVE,19_0013,A8090,19_0013_0017,L.,Corylus avellana
21,36,INDET,19_0013,A8090,19_0013_0017,,Indeterminata
22,44,CEREA,19_0013,A9063,19_0013_0001,,Cerealia indet.
22,6,CHALB,19_0013,A9063,19_0013_0001,L.,Chenopodium album
22,46,HODIV,19_0013,A9063,19_0013_0001,L./L.,Hordeum distichon/vulgare
22,48,HODVS,19_0013,A9063,19_0013_0001,,Hordeum distichon/vulgare Spelzgerste
22,36,INDET,19_0013,A9063,19_0013_0001,,Indeterminata
22,60,LIUSI,19_0013,A9063,19_0013_0001,L.,Linum usitatissimum
22,61,MEDME,19_0013,A9063,19_0013_0001,,Medicago/Melilotus
23,58,BRAS,19_0013,A9063,19_0013_0002,L.,Brassica spec.
23,44,CEREA,19_0013,A9063,19_0013_0002,,Cerealia indet.
23,6,CHALB,19_0013,A9063,19_0013_0002,L.,Chenopodium album
23,8,GAIS,19_0013,A9063,19_0013_0002,L.,Galeopsis spec.
23,45,GASPU,19_0013,A9063,19_0013_0002,L.,Galium spurium
23,19,SOLA,19_0013,A9063,19_0013_0002,L.,Solanum spec.
23,20,SPARV,19_0013,A9063,19_0013_0002,L.,Spergula arvensis
24,44,CEREA,19_0013,A9063,19_0013_0003,,Cerealia indet.
24,6,CHALB,19_0013,A9063,19_0013_0003,L.,Chenopodium album
24,45,GASPU,19_0013,A9063,19_0013_0003,L.,Galium spurium
24,46,HODIV,19_0013,A9063,19_0013_0003,L./L.,Hordeum distichon/vulgare
24,48,HODVS,19_0013,A9063,19_0013_0003,,Hordeum distichon/vulgare Spelzgerste
24,50,POLAP,19_0013,A9063,19_0013_0003,L.,Polygonum lapathifolium agg.
24,21,STGRA,19_0013,A9063,19_0013_0003,L.,Stellaria graminea
24,22,STMES,19_0013,A9063,19_0013_0003,,Stellaria media
25,44,CEREA,19_0013,A9063,19_0013_0016,,Cerealia indet.
25,6,CHALB,19_0013,A9063,19_0013_0016,L.,Chenopodium album
25,36,INDET,19_0013,A9063,19_0013_0016,,Indeterminata
25,62,TRIT,19_0013,A9063,19_0013_0016,L.,Triticum spec.
26,44,CEREA,19_0014,A10143,19_0014_0040,,Cerealia indet.
26,6,CHALB,19_0014,A10143,19_0014_0040,L.,Chenopodium album
26,45,GASPU,19_0014,A10143,19_0014_0040,L.,Galium spurium
26,46,HODIV,19_0014,A10143,19_0014_0040,L./L.,Hordeum distichon/vulgare
27,44,CEREA,19_0014,A10153,19_0014_0037,,Cerealia indet.
27,6,CHALB,19_0014,A10153,19_0014_0037,L.,Chenopodium album
27,45,GASPU,19_0014,A10153,19_0014_0037,L.,Galium spurium
28,44,CEREA,19_0014,A10189,19_0014_0042,,Cerealia indet.
28,45,GASPU,19_0014,A10189,19_0014_0042,L.,Galium spurium
28,20,SPARV,19_0014,A10189,19_0014_0042,L.,Spergula arvensis
28,22,STMES,19_0014,A10189,19_0014_0042,,Stellaria media
29,44,CEREA,19_0014,A10229,19_0014_0039,,Cerealia indet.
29,6,CHALB,19_0014,A10229,19_0014_0039,L.,Chenopodium album
29,45,GASPU,19_0014,A10229,19_0014_0039,L.,Galium spurium
29,46,HODIV,19_0014,A10229,19_0014_0039,L./L.,Hordeum distichon/vulgare
29,63,PRVUL,19_0014,A10229,19_0014_0039,L.,Prunella vulgaris
29,22,STMES,19_0014,A10229,19_0014_0039,,Stellaria media
30,44,CEREA,19_0014,A10697,19_0014_0067,,Cerealia indet.
30,6,CHALB,19_0014,A10697,19_0014_0067,L.,Chenopodium album
30,36,INDET,19_0014,A10697,19_0014_0067,,Indeterminata
30,64,MELI,19_0014,A10697,19_0014_0067,Mill.,Melilotus spec.
30,32,SIDIO,19_0014,A10697,19_0014_0067,(L.) Clairv.,Silene dioica
30,22,STMES,19_0014,A10697,19_0014_0067,,Stellaria media
31,6,CHALB,19_0014,A10990,19_0014_0055,L.,Chenopodium album
32,51,CATRI,19_0014,A11339,19_0014_0068,,Carex spec. tricarpellat
32,44,CEREA,19_0014,A11339,19_0014_0068,,Cerealia indet.
32,6,CHALB,19_0014,A11339,19_0014_0068,L.,Chenopodium album
32,48,HODVS,19_0014,A11339,19_0014_0068,,Hordeum distichon/vulgare Spelzgerste
32,36,INDET,19_0014,A11339,19_0014_0068,,Indeterminata
32,12,POAVI,19_0014,A11339,19_0014_0068,,Polygonum aviculare agg.
32,50,POLAP,19_0014,A11339,19_0014_0068,L.,Polygonum lapathifolium agg.
32,13,POLCO,19_0014,A11339,19_0014_0068,(L.) A. Löve,Polygonum convolvulus
32,16,RANU,19_0014,A11339,19_0014_0068,L.,Ranunculus spec.
32,53,RUMAC,19_0014,A11339,19_0014_0068,,Rumex acetosella agg.
