system_id,sample_method_id,ProjektNr,Befu,ProbNr,method_type,method_name
300,,19_0014,A2114,19_0014_0051,"ORG1,0",ja
301,,19_0014,A3019,19_0014_0052,"ORG1,0",ja
302,,19_0014,A3170,19_0014_0066,"ORG1,0",ja
303,,19_0014,A3650,19_0014_0053,"ORG1,0",ja
304,,19_0014,A4115,19_0014_0023,"ORG1,0",ja
305,,19_0014,A4365,19_0014_0054,"ORG1,0",ja
306,,19_0014,A5192,19_0014_0020,"ORG1,0",ja
307,,19_0014,A5213,19_0014_0019,"ORG1,0",ja
308,,19_0014,A5223,19_0014_0018,"ORG1,0",ja
309,,19_0014,A5254,19_0014_0029,"ORG1,0",ja
310,,19_0014,A5282,19_0014_0021,"ORG1,0",ja
311,,19_0014,A5294,19_0014_0022,"ORG1,0",ja
312,,19_0014,A5307,19_0014_0024,"ORG1,0",ja
313,,19_0014,A5334,19_0014_0063,"ORG1,0",ja
314,,19_0014,A6041,19_0014_0034,"ORG1,0",ja
315,,19_0014,A6135,19_0014_0015,"ORG1,0",ja
316,,19_0014,A6146,19_0014_0033,"ORG1,0",ja
317,,19_0014,A6157,19_0014_0035,"ORG1,0",ja
318,,19_0014,A6178,19_0014_0017,"ORG1,0",ja
319,,19_0014,A6194,19_0014_0025,"ORG1,0",ja
320,,19_0014,A7199,19_0014_0032,"ORG1,0",ja
321,,19_0014,A7253,19_0014_0014,"ORG1,0",ja
322,,19_0014,A7263,19_0014_0030,"ORG1,0",ja
323,,19_0014,A7294,19_0014_0013,"ORG1,0",ja
324,,19_0014,A7306,19_0014_0036,"ORG1,0",ja
325,,19_0014,A785,19_0014_0043,"ORG1,0",ja
326,,19_0014,A8079,19_0014_0007,"ORG1,0",ja
327,,19_0014,A8103,19_0014_0009,"ORG1,0",ja
328,,19_0014,A8114,19_0014_0011,"ORG1,0",ja
329,,19_0014,A8142,19_0014_0026,"ORG1,0",ja
330,,19_0014,A8178,19_0014_0031,"ORG1,0",ja
331,,19_0014,A8189,19_0014_0012,"ORG1,0",ja
332,,19_0014,A8234,19_0014_0010,"ORG1,0",ja
333,,19_0014,A9000,19_0014_0027,"ORG1,0",ja
334,,19_0014,A9052,19_0014_0028,"ORG1,0",ja
335,,19_0014,A9075,19_0014_0003,"ORG1,0",ja
336,,19_0014,A9111,19_0014_0001,"ORG1,0",ja
337,,19_0014,A9126,19_0014_0004,"ORG1,0",ja
338,,19_0014,A9199,19_0014_0006,"ORG1,0",ja
339,,19_0014,A957,19_0014_0064,"ORG1,0",ja
340,,19_0014,A973,19_0014_0065,"ORG1,0",ja
341,,19_0014,A9847,19_0014_0002,"ORG1,0",ja
342,,22_0005,11200,22_0005_0001,"ORG1,0",ja
343,,22_0005,11201,22_0005_0002,"ORG1,0",ja
344,,22_0005,11221,22_0005_0003,"ORG1,0",ja
345,,22_0005,12026,22_0005_0004,"ORG1,0",ja
346,,22_0005,200125,22_0005_0012,"ORG1,0",ja
347,,22_0005,200149,22_0005_0013,"ORG1,0",ja
348,,22_0005,200177,22_0005_0009,"ORG1,0",ja
349,,22_0005,200473,22_0005_0005,"ORG1,0",ja
350,,22_0005,200475,22_0005_0006,"ORG1,0",ja
351,,22_0005,23362,22_0005_0010,"ORG1,0",ja
352,,22_0005,23434,22_0005_0007,"ORG1,0",ja
353,,22_0005,23491,22_0005_0008,"ORG1,0",ja
354,,22_0005,23988,22_0005_0011,"ORG1,0",ja
355,,22_0015,A2076,22_0015_0017,"ORG1,0",
356,,22_0015,A2154,22_0015_0020,"ORG1,0",
357,,22_0015,A2874 G2976,22_0015_0014,"ORG1,0",
358,,22_0015,A4796,22_0015_0013,"ORG1,0",
359,,22_0015,M153 St 1,22_0015_0006,"ORG1,0",
360,,22_0015,M153 St 2,22_0015_0007,"ORG1,0",
361,,22_0015,M160 St 1,22_0015_0001,"ORG1,0",
362,,22_0015,M167 St 1,22_0015_0002,"ORG1,0",
363,,22_0015,M167 St 2,22_0015_0003,"ORG1,0",
364,,22_0015,M167 St 3,22_0015_0004,"ORG1,0",
365,,22_0015,M167 St 4,22_0015_0005,"ORG1,0",
366,,22_0015,M32 Undre del,2022_0015_0009,"ORG1,0",
367,,22_0015,M32 Övre del,2022_0015_0008,"ORG1,0",
368,,22_0015,M99 A5085,2022_0015_0010,"ORG1,0",
369,,22_0015,M99 A5085,2022_0015_0012,"ORG1,0",
370,,DanaBunar2,31,17 depth 0.10-0.20,"ORG1,0",ja
371,,DanaBunar2,31,17a depth 0.00-0.20,"ORG1,0",ja
372,,DanaBunar2,32,51 depth 0.00-0.10,"ORG1,0",ja
373,,DanaBunar2,32,52 depth 0.10-0.20,"ORG1,0",ja
374,,DanaBunar2,32,53 depth 0.00-0.10,"ORG1,0",ja
375,,DanaBunar2,33,18 depth 0.20-0.30,"ORG1,0",ja
376,,DanaBunar2,33,19 depth 0.00-0.10,"ORG1,0",ja
377,,DanaBunar2,33,20 depth 0.10-0.30,"ORG1,0",ja
378,,DanaBunar2,33,21 depth 0.30-0.40,"ORG1,0",ja
379,,DanaBunar2,33,22 depth 0.20-0.30,"ORG1,0",ja
380,,DanaBunar2,37,39 depth 0.10-0.20,"ORG1,0",ja
381,,DanaBunar2,37,40 depth 0.20-0.30,"ORG1,0",ja
382,,DanaBunar2,37,41 depth 0.00-0.10,"ORG1,0",ja
383,,DanaBunar2,37,42 depth 0.00-0.10,"ORG1,0",ja
384,,DanaBunar2,38,1 depth 0.48-0.58,"ORG1,0",ja
385,,DanaBunar2,38,2 depth 0.35-0.45,"ORG1,0",ja
386,,DanaBunar2,38,3 depth 0.35-0.45,"ORG1,0",ja
387,,DanaBunar2,38,4 depth 0.00-0.10,"ORG1,0",ja
388,,DanaBunar2,38,5 depth 0.30-0.50,"ORG1,0",ja
389,,DanaBunar2,39,47 depth 0.00-0.10,"ORG1,0",ja
390,,DanaBunar2,39,48 depth 0.10-0.20,"ORG1,0",ja
391,,DanaBunar2,41,44 depth 0.00-0.10,"ORG1,0",ja
392,,DanaBunar2,41,46 depth 0.30-0.40,"ORG1,0",ja
393,,DanaBunar2,42,10 depth 0.10-0.20,"ORG1,0",ja
394,,DanaBunar2,42,6 depth 0.00-0.10,"ORG1,0",ja
395,,DanaBunar2,42,7 depth 0.00-0.10,"ORG1,0",ja
396,,DanaBunar2,42,8 depth 0.10-0.20,"ORG1,0",ja
397,,DanaBunar2,42,9 depth 0.10-0.20,"ORG1,0",ja
398,,DanaBunar2,44,87 depth 0.06-0.16,"ORG1,0",ja
399,,DanaBunar2,44,88 depth 0.20-0.30,"ORG1,0",ja
400,,DanaBunar2,44,89 depth 0.30-0.40,"ORG1,0",ja
401,,DanaBunar2,44,90 depth 0.16-0.26,"ORG1,0",ja
402,,DanaBunar2,44,91 depth 0.10-0.20,"ORG1,0",ja
403,,DanaBunar2,44,92 depth 0.00-0.10,"ORG1,0",ja
