system_id,sample_cultural_group_id,cultural_group_id,sample_id,Befu,KultGr,ProbNr,ProjektNr
231,,2,231,US 6712,,Isw 2013/13,Iswid
232,,2,232,US 6773,,Isw 2013/7,Iswid
233,,2,233,US 6803,,Isw 2013/10,Iswid
234,,2,234,US 6810,,Isw 2013/5,Iswid
235,,2,235,US 6827,,Isw 2013/2,Iswid
236,,2,236,US 6854,,Isw 2013/4,Iswid
237,,2,237,US 6863,,Isw 2013/12,Iswid
238,,2,238,US 6875,,Isw 2013/14,Iswid
239,,2,239,US 9036,,Isw 2013/3,Iswid
240,,2,240,US 9200,,Isw 2013/1,Iswid
241,,2,241,US 9321,,Isw 2013/6,Iswid
242,,2,242,US 9404_foyer 2093,,Isw 2013/17,Iswid
243,,2,243,US 9519,,Isw 2013/11,Iswid
244,,2,244,US 9859/9860,,Isw 2013/16,Iswid
245,,2,245,US 9870_foyer2163,,1,Iswid
246,,2,246,US 9880_foyer 2166,,Isw 2013/19,Iswid
