system_id,result_id,Befu,Zustand,ProbNr,cf,ProjektNr,RTyp,PCODE,SumFAnzahl,SumFFrag,SumFGewicht,SumPflR,Zust,geschätzt
195,,A479,charred,19_0013_0019,-,19_0013,Sa/Fr,COAVE,1.0,0.0,0.0,1,vk,
196,,A479,charred,19_0013_0019,-,19_0013,Sa/Fr,GASPU,4.0,0.0,0.0,4,vk,
197,,A479,charred,19_0013_0019,-,19_0013,Sa/Fr,POLAP,3.0,0.0,0.0,3,vk,
198,,A479,charred,19_0013_0019,-,19_0013,Sa/Fr,SPARV,3.0,0.0,0.0,3,vk,
199,,A479,charred,19_0013_0019,-,19_0013,Sa/Fr,STMES,7.0,0.0,0.0,7,vk,
200,,A6214,charred,19_0013_0007,-,19_0013,Sa/Fr,CEREA,5.0,0.0,0.0,5,vk,
201,,A6214,charred,19_0013_0007,-,19_0013,Sa/Fr,CHALB,6.0,0.0,0.0,6,vk,
202,,A6214,charred,19_0013_0007,-,19_0013,Sa/Fr,COAVE,1.0,0.0,0.0,1,vk,
203,,A6214,charred,19_0013_0007,-,19_0013,Sa/Fr,GASPU,2.0,0.0,0.0,2,vk,
204,,A6214,charred,19_0013_0007,-,19_0013,Sa/Fr,POLAP,1.0,0.0,0.0,1,vk,
205,,A6214,charred,19_0013_0007,-,19_0013,Sa/Fr,RANU,1.0,0.0,0.0,1,vk,
206,,A6214,charred,19_0013_0007,-,19_0013,Sa/Fr,SONIG,1.0,0.0,0.0,1,vk,
207,,A6214,charred,19_0013_0007,-,19_0013,Sa/Fr,SPARV,2.0,0.0,0.0,2,vk,
208,,A6214,charred,19_0013_0007,-,19_0013,Sa/Fr,STMES,2.0,0.0,0.0,2,vk,
209,,A6214,charred,19_0013_0008,-,19_0013,Sa/Fr,BRAS,3.0,0.0,0.0,3,vk,
210,,A6214,charred,19_0013_0008,-,19_0013,Sa/Fr,CEREA,15.0,0.0,0.0,15,vk,
211,,A6214,charred,19_0013_0008,-,19_0013,Sa/Fr,CHALB,7.0,0.0,0.0,7,vk,
212,,A6214,charred,19_0013_0008,-,19_0013,Sa/Fr,HODIV,1.0,0.0,0.0,1,vk,
213,,A6214,charred,19_0013_0008,-,19_0013,Zwei,INDET,1.0,0.0,0.0,1,vk,
214,,A6214,charred,19_0013_0008,-,19_0013,Sa/Fr,POLAP,4.0,0.0,0.0,4,vk,
215,,A6214,charred,19_0013_0008,-,19_0013,Sa/Fr,STMES,2.0,0.0,0.0,2,vk,
216,,A6214,charred,19_0013_0008,-,19_0013,Sa/Fr,TRAED,1.0,0.0,0.0,1,vk,
217,,A6214,charred,19_0013_0009,-,19_0013,Sa/Fr,CARE,1.0,0.0,0.0,1,vk,
218,,A6214,charred,19_0013_0009,-,19_0013,Sa/Fr,CEREA,19.0,0.0,0.0,19,vk,
219,,A6214,charred,19_0013_0009,-,19_0013,Sa/Fr,CHALB,5.0,0.0,0.0,5,vk,
220,,A6214,charred,19_0013_0009,-,19_0013,Sa/Fr,COAVE,4.0,0.0,0.0,4,vk,
221,,A6214,charred,19_0013_0009,-,19_0013,Sa/Fr,GASPU,3.0,0.0,0.0,3,vk,
222,,A6214,charred,19_0013_0009,-,19_0013,Sa/Fr,HODIV,1.0,0.0,0.0,1,vk,
223,,A6214,charred,19_0013_0009,-,19_0013,Sa/Fr,STMES,3.0,0.0,0.0,3,vk,
224,,A6214,charred,19_0013_0018,-,19_0013,Sa/Fr,BRAS,1.0,0.0,0.0,1,vk,
225,,A6214,charred,19_0013_0018,-,19_0013,Sa/Fr,CEREA,23.0,0.0,0.0,23,vk,
226,,A6214,charred,19_0013_0018,-,19_0013,Sa/Fr,CHALB,7.0,0.0,0.0,7,vk,
227,,A6214,charred,19_0013_0018,-,19_0013,Sa/Fr,GASPU,2.0,0.0,0.0,2,vk,
228,,A6214,charred,19_0013_0018,-,19_0013,Sa/Fr,INDET,4.0,0.0,0.0,4,vk,
229,,A6214,charred,19_0013_0018,-,19_0013,Sa/Fr,POLAP,2.0,0.0,0.0,2,vk,
230,,A8090,charred,19_0013_0004,-,19_0013,Sa/Fr,CEREA,24.0,0.0,0.0,24,vk,
231,,A8090,charred,19_0013_0004,-,19_0013,Sa/Fr,CHALB,9.0,0.0,0.0,9,vk,
232,,A8090,charred,19_0013_0004,-,19_0013,Sa/Fr,GASPU,1.0,0.0,0.0,1,vk,
233,,A8090,charred,19_0013_0004,-,19_0013,Sa/Fr,HODVS,3.0,0.0,0.0,3,vk,
234,,A8090,charred,19_0013_0004,-,19_0013,Sa/Fr,RUME,1.0,0.0,0.0,1,vk,
235,,A8090,charred,19_0013_0004,-,19_0013,Sa/Fr,STMES,1.0,0.0,0.0,1,vk,
236,,A8090,charred,19_0013_0004,-,19_0013,Sa/Fr,TRAED,1.0,0.0,0.0,1,vk,
237,,A8090,charred,19_0013_0005,-,19_0013,Sa/Fr,CATRI,1.0,0.0,0.0,1,vk,
238,,A8090,charred,19_0013_0005,-,19_0013,Sa/Fr,CEREA,21.0,0.0,0.0,21,vk,
239,,A8090,charred,19_0013_0005,-,19_0013,Sa/Fr,CHALB,12.0,0.0,0.0,12,vk,
240,,A8090,charred,19_0013_0005,-,19_0013,Sa/Fr,GASPU,2.0,0.0,0.0,2,vk,
241,,A8090,charred,19_0013_0005,-,19_0013,Spi,HODIV,1.0,0.0,0.0,1,vk,
242,,A8090,charred,19_0013_0005,-,19_0013,Sa/Fr,HODVS,6.0,0.0,0.0,6,vk,
