system_id,result_id,Befu,PCODE,ProbNr,ProjektNr,RTyp,SumFAnzahl,SumFFrag,SumFGewicht,SumPflR,Zust,cf,geschätzt,method_indicator,method_type
126,,A11148,GAIS,19_0013_0014,19_0013,Sa/Fr,4.0,0.0,0.0,4,vk,-,,,"ORG2,0"
127,,A11148,GASPU,19_0013_0014,19_0013,Sa/Fr,5.0,0.0,0.0,5,vk,-,,,"ORG2,0"
128,,A11148,HODVN,19_0013_0014,19_0013,Sa/Fr,2.0,0.0,0.0,2,vk,-,,,"ORG2,0"
129,,A11148,HODVS,19_0013_0014,19_0013,Sa/Fr,5.0,0.0,0.0,5,vk,-,,,"ORG2,0"
130,,A11148,INDET,19_0013_0014,19_0013,Sa/Fr,16.0,0.0,0.0,16,vk,-,,,"ORG2,0"
131,,A11148,POACE,19_0013_0014,19_0013,Sa/Fr,4.0,0.0,0.0,4,vk,-,,,"ORG2,0"
132,,A11148,POLAP,19_0013_0014,19_0013,Sa/Fr,7.0,0.0,0.0,7,vk,-,,,"ORG2,0"
133,,A11148,POLCO,19_0013_0014,19_0013,Sa/Fr,7.0,0.0,0.0,7,vk,-,,,"ORG2,0"
134,,A11148,RUCRI,19_0013_0014,19_0013,Sa/Fr,3.0,0.0,0.0,3,vk,-,,,"ORG2,0"
135,,A11148,RUMAC,19_0013_0014,19_0013,Sa/Fr,2.0,0.0,0.0,2,vk,-,,,"ORG2,0"
136,,A11148,SPARV,19_0013_0014,19_0013,Sa/Fr,67.0,0.0,0.0,67,vk,-,,,"ORG2,0"
137,,A11148,STGRA,19_0013_0014,19_0013,Sa/Fr,3.0,0.0,0.0,3,vk,-,,,"ORG2,0"
138,,A11148,STMES,19_0013_0014,19_0013,Sa/Fr,22.0,0.0,0.0,22,vk,-,,,"ORG2,0"
139,,A11148,THARV,19_0013_0014,19_0013,Sa/Fr,1.0,0.0,0.0,1,vk,-,,,"ORG2,0"
140,,A11148,CEREA,19_0013_0015,19_0013,Sa/Fr,10.0,0.0,0.0,10,vk,-,,,"ORG2,0"
141,,A11148,CHALB,19_0013_0015,19_0013,Sa/Fr,16.0,0.0,0.0,16,vk,-,,,"ORG2,0"
142,,A11148,INDET,19_0013_0015,19_0013,Sa/Fr,2.0,0.0,0.0,2,vk,-,,,"ORG2,0"
143,,A11148,INDET,19_0013_0015,19_0013,Sti,1.0,0.0,0.0,1,vk,-,,,"ORG2,0"
144,,A11148,POLAP,19_0013_0015,19_0013,Sa/Fr,1.0,0.0,0.0,1,vk,-,,,"ORG2,0"
145,,A11148,POLCO,19_0013_0015,19_0013,Sa/Fr,2.0,0.0,0.0,2,vk,-,,,"ORG2,0"
146,,A11148,SPARV,19_0013_0015,19_0013,Sa/Fr,12.0,0.0,0.0,12,vk,-,,,"ORG2,0"
147,,A11148,STMES,19_0013_0015,19_0013,Sa/Fr,4.0,0.0,0.0,4,vk,-,,,"ORG2,0"
148,,A11148,CARE,19_0013_0020,19_0013,Sa/Fr,3.0,0.0,0.0,3,vk,-,,,"ORG2,0"
149,,A11148,CEREA,19_0013_0020,19_0013,Sa/Fr,17.0,0.0,0.0,17,vk,-,,,"ORG2,0"
150,,A11148,CHALB,19_0013_0020,19_0013,Sa/Fr,40.0,0.0,0.0,40,vk,-,,,"ORG2,0"
151,,A11148,GAIS,19_0013_0020,19_0013,Sa/Fr,2.0,0.0,0.0,2,vk,-,,,"ORG2,0"
152,,A11148,GALI,19_0013_0020,19_0013,Sa/Fr,3.0,0.0,0.0,3,vk,-,,,"ORG2,0"
153,,A11148,POACE,19_0013_0020,19_0013,Sa/Fr,1.0,0.0,0.0,1,vk,-,,,"ORG2,0"
154,,A11148,POLAP,19_0013_0020,19_0013,Sa/Fr,2.0,0.0,0.0,2,vk,-,,,"ORG2,0"
155,,A11148,POLCO,19_0013_0020,19_0013,Sa/Fr,4.0,0.0,0.0,4,vk,-,,,"ORG2,0"
156,,A11148,RUMAC,19_0013_0020,19_0013,Sa/Fr,3.0,0.0,0.0,3,vk,-,,,"ORG2,0"
157,,A11148,RUME,19_0013_0020,19_0013,Sa/Fr,1.0,0.0,0.0,1,vk,-,,,"ORG2,0"
158,,A11148,SPARV,19_0013_0020,19_0013,Sa/Fr,43.0,0.0,0.0,43,vk,-,,,"ORG2,0"
159,,A11148,STMES,19_0013_0020,19_0013,Sa/Fr,7.0,0.0,0.0,7,vk,-,,,"ORG2,0"
160,,A479,CARE,19_0013_0010,19_0013,Sa/Fr,1.0,0.0,0.0,1,vk,-,,,"ORG2,0"
161,,A479,CEREA,19_0013_0010,19_0013,Sa/Fr,20.0,0.0,0.0,20,vk,-,,,"ORG2,0"
162,,A479,GAIS,19_0013_0010,19_0013,Sa/Fr,1.0,0.0,0.0,1,vk,-,,,"ORG2,0"
163,,A479,GASPU,19_0013_0010,19_0013,Sa/Fr,5.0,0.0,0.0,5,vk,-,,,"ORG2,0"
164,,A479,HODIV,19_0013_0010,19_0013,Sa/Fr,4.0,0.0,0.0,4,vk,-,,,"ORG2,0"
165,,A479,HODVS,19_0013_0010,19_0013,Sa/Fr,1.0,0.0,0.0,1,vk,-,,,"ORG2,0"
166,,A479,INDET,19_0013_0010,19_0013,Sa/Fr,10.0,0.0,0.0,10,vk,-,,,"ORG2,0"
