sample_id,taxon_id,BNam,Befu,PCODE,ProbNr,ProjektNr,TaxAut
24,6,Chenopodium album,A9063,CHALB,19_0013_0003,19_0013,L.
24,45,Galium spurium,A9063,GASPU,19_0013_0003,19_0013,L.
24,46,Hordeum distichon/vulgare,A9063,HODIV,19_0013_0003,19_0013,L./L.
24,48,Hordeum distichon/vulgare Spelzgerste,A9063,HODVS,19_0013_0003,19_0013,
24,50,Polygonum lapathifolium agg.,A9063,POLAP,19_0013_0003,19_0013,L.
24,21,Stellaria graminea,A9063,STGRA,19_0013_0003,19_0013,L.
24,22,Stellaria media,A9063,STMES,19_0013_0003,19_0013,
25,44,Cerealia indet.,A9063,CEREA,19_0013_0016,19_0013,
25,6,Chenopodium album,A9063,CHALB,19_0013_0016,19_0013,L.
25,36,Indeterminata,A9063,INDET,19_0013_0016,19_0013,
25,62,Triticum spec.,A9063,TRIT,19_0013_0016,19_0013,L.
26,44,Cerealia indet.,A10143,CEREA,19_0014_0040,19_0014,
26,6,Chenopodium album,A10143,CHALB,19_0014_0040,19_0014,L.
26,45,Galium spurium,A10143,GASPU,19_0014_0040,19_0014,L.
26,46,Hordeum distichon/vulgare,A10143,HODIV,19_0014_0040,19_0014,L./L.
27,44,Cerealia indet.,A10153,CEREA,19_0014_0037,19_0014,
27,6,Chenopodium album,A10153,CHALB,19_0014_0037,19_0014,L.
27,45,Galium spurium,A10153,GASPU,19_0014_0037,19_0014,L.
28,44,Cerealia indet.,A10189,CEREA,19_0014_0042,19_0014,
28,45,Galium spurium,A10189,GASPU,19_0014_0042,19_0014,L.
28,20,Spergula arvensis,A10189,SPARV,19_0014_0042,19_0014,L.
28,22,Stellaria media,A10189,STMES,19_0014_0042,19_0014,
29,44,Cerealia indet.,A10229,CEREA,19_0014_0039,19_0014,
29,6,Chenopodium album,A10229,CHALB,19_0014_0039,19_0014,L.
29,45,Galium spurium,A10229,GASPU,19_0014_0039,19_0014,L.
29,46,Hordeum distichon/vulgare,A10229,HODIV,19_0014_0039,19_0014,L./L.
29,63,Prunella vulgaris,A10229,PRVUL,19_0014_0039,19_0014,L.
29,22,Stellaria media,A10229,STMES,19_0014_0039,19_0014,
30,44,Cerealia indet.,A10697,CEREA,19_0014_0067,19_0014,
30,6,Chenopodium album,A10697,CHALB,19_0014_0067,19_0014,L.
30,36,Indeterminata,A10697,INDET,19_0014_0067,19_0014,
30,64,Melilotus spec.,A10697,MELI,19_0014_0067,19_0014,Mill.
30,32,Silene dioica,A10697,SIDIO,19_0014_0067,19_0014,(L.) Clairv.
30,22,Stellaria media,A10697,STMES,19_0014_0067,19_0014,
31,6,Chenopodium album,A10990,CHALB,19_0014_0055,19_0014,L.
32,51,Carex spec. tricarpellat,A11339,CATRI,19_0014_0068,19_0014,
32,44,Cerealia indet.,A11339,CEREA,19_0014_0068,19_0014,
32,6,Chenopodium album,A11339,CHALB,19_0014_0068,19_0014,L.
32,48,Hordeum distichon/vulgare Spelzgerste,A11339,HODVS,19_0014_0068,19_0014,
32,36,Indeterminata,A11339,INDET,19_0014_0068,19_0014,
32,12,Polygonum aviculare agg.,A11339,POAVI,19_0014_0068,19_0014,
32,50,Polygonum lapathifolium agg.,A11339,POLAP,19_0014_0068,19_0014,L.
32,13,Polygonum convolvulus,A11339,POLCO,19_0014_0068,19_0014,(L.) A. Löve
