system_id,sample_sample_type_id,sample_id,sample_type_id,description,type_name,Befu,ProbNr,ProbTyp,ProjektNr
178,,178,1,,Eim,64,16 depth 0.48-0.58,Eim,DanaBunar2
179,,179,1,,Eim,2709_fond,Isw 2013/32,Eim,Iswid
180,,180,1,,Eim,2905 fond,Isw 2013/26,Eim,Iswid
181,,181,1,,Eim,2913 fond,Isw 2013/33,Eim,Iswid
182,,182,1,,Eim,foyer 2174,Isw 2013/15,Eim,Iswid
183,,183,1,,Eim,US 10503,Isw 2013/8,Eim,Iswid
184,,184,1,,Eim,US 10521,Isw 2013/20,Eim,Iswid
185,,185,1,,Eim,US 10534,Isw 2013/21,Eim,Iswid
186,,186,1,,Eim,US 10610,Isw 2013/25,Eim,Iswid
187,,187,1,,Eim,US 11004,Isw 2013/22,Eim,Iswid
188,,188,1,,Eim,US 11012,Isw 2013/27,Eim,Iswid
189,,189,1,,Eim,US 11067,Isw 2013/28,Eim,Iswid
190,,190,1,,Eim,US 12025,Isw 2013/25,Eim,Iswid
191,,191,1,,Eim,US 12040,Isw 2013/29,Eim,Iswid
192,,192,1,,Eim,US 12047,Isw 2013/30,Eim,Iswid
193,,193,1,,Eim,US 12504,Isw 2013/31,Eim,Iswid
194,,194,1,,Eim,US 13017,Isw 2015/18,Eim,Iswid
195,,195,1,,Eim,US 13017,Isw 2016/41,Eim,Iswid
196,,196,1,,Eim,US 13065,Isw 2015/25,Eim,Iswid
197,,197,1,,Eim,US 13066,Isw 2015/4,Eim,Iswid
198,,198,1,,Eim,US 13083,Isw 2015/22,Eim,Iswid
199,,199,1,,Eim,US 13099,Isw 2015/9,Eim,Iswid
200,,200,1,,Eim,US 13145,Isw 2015/21,Eim,Iswid
201,,201,1,,Eim,US 13516,Isw 2015/8,Eim,Iswid
202,,202,1,,Eim,US 13526,Isw 2015/2,Eim,Iswid
203,,203,1,,Eim,US 13572,Isw 2015/12,Eim,Iswid
204,,204,1,,Eim,US 13610,Isw 2015/11,Eim,Iswid
205,,205,1,,Eim,US 13632,Isw 2016/15,Eim,Iswid
206,,206,1,,Eim,US 13639,Isw2015/26,Eim,Iswid
207,,207,1,,Eim,US 13657,Isw 2015/17,Eim,Iswid
208,,208,1,,Eim,US 13705,Isw 2015/10,Eim,Iswid
209,,209,1,,Eim,US 13791,Isw 2015/5,Eim,Iswid
210,,210,1,,Eim,US 13791 (3),Isw 2015/7,Eim,Iswid
211,,211,1,,Eim,US 13802,Isw 2015/20,Eim,Iswid
212,,212,1,,Eim,US 13971,Isw 2015/7,Eim,Iswid
213,,213,1,,Eim,US 14021,Isw 2015/1,Eim,Iswid
214,,214,1,,Eim,US 14038,Isw 2015/3,Eim,Iswid
215,,215,1,,Eim,US 14050,Isw 2015/24,Eim,Iswid
216,,216,1,,Eim,US 14078,Isw 2916/23,Eim,Iswid
217,,217,1,,Eim,US 14131,Isw 2015/13,Eim,Iswid
218,,218,1,,Eim,US 14131,Isw 2016/12,Eim,Iswid
219,,219,1,,Eim,US 14158,Isw 2015/14,Eim,Iswid
220,,220,1,,Eim,US 14418,Isw 2016/34,Eim,Iswid
221,,221,1,,Eim,US 14495,Isw 16/37,Eim,Iswid
222,,222,1,,Eim,US 14509,16-Jan,Eim,Iswid
223,,223,1,,Eim,US 14636,Isw 16/35,Eim,Iswid
224,,224,1,,Eim,US 15067,Isw 2017/7,Eim,Iswid
225,,225,1,,Eim,US 15071,Isw 17/4,Eim,Iswid
226,,226,1,,Eim,US 15108,Isw 17/1,Eim,Iswid
227,,227,1,,Eim,US 15140,Isw17/26,Eim,Iswid
228,,228,1,,Eim,US 16183,Isw 2017/8,Eim,Iswid
229,,229,1,,Eim,US 16287_F4185 (TR.),Isw 17/23,Eim,Iswid
230,,230,1,,Eim,US 16323_F4199(foye,Isw 17/29,Eim,Iswid
231,,231,1,,Eim,US 6712,Isw 2013/13,Eim,Iswid
232,,232,1,,Eim,US 6773,Isw 2013/7,Eim,Iswid
233,,233,1,,Eim,US 6803,Isw 2013/10,Eim,Iswid
234,,234,1,,Eim,US 6810,Isw 2013/5,Eim,Iswid
235,,235,1,,Eim,US 6827,Isw 2013/2,Eim,Iswid
236,,236,1,,Eim,US 6854,Isw 2013/4,Eim,Iswid
237,,237,1,,Eim,US 6863,Isw 2013/12,Eim,Iswid
238,,238,1,,Eim,US 6875,Isw 2013/14,Eim,Iswid
239,,239,1,,Eim,US 9036,Isw 2013/3,Eim,Iswid
240,,240,1,,Eim,US 9200,Isw 2013/1,Eim,Iswid
241,,241,1,,Eim,US 9321,Isw 2013/6,Eim,Iswid
242,,242,1,,Eim,US 9404_foyer 2093,Isw 2013/17,Eim,Iswid
243,,243,1,,Eim,US 9519,Isw 2013/11,Eim,Iswid
244,,244,1,,Eim,US 9859/9860,Isw 2013/16,Eim,Iswid
245,,245,1,,Eim,US 9870_foyer2163,1,Eim,Iswid
246,,246,1,,Eim,US 9880_foyer 2166,Isw 2013/19,Eim,Iswid
